1,"{"""": [[747.1915357907613, 278.37802106142044], [609.0656401316324, 63.66098242998123], [747.1915357907613, 35.512102365493774], [565.2057585716248, 45.986104249954224], [620.1942667961121, 39.43985307216644], [649.6523962020874, 3.4354715943336487], [571.0973844528198, 4.090096712112427], [688.9299020767212, 44.67685401439667], [537.7115044593811, 18.491849303245544], [648.9977711041769, 70.86185872554779], [535.0930040677389, 81.33586061000824], [639.1783946355184, 65.62485778331757], [573.715884844462, 74.78960943222046], [667.9818989435831, 164.47325056791306], [559.9687577883402, 171.01950174570084], [702.0224040349325, 278.37802106142044], [542.293880144755, 278.37802106142044]]}"
2,"{""1"": [[1169.3272413969507, 399.65221392376014], [1189.3261908318939, 391.65263414978295], [1185.3264009449053, 377.6533695453229], [1167.3273464534566, 317.656521240494], [1163.327556566468, 317.656521240494], [1069.3324942222362, 319.6564161839883], [1071.3323891657303, 295.65767686205675], [1121.3297627530878, 467.6486420025662], [1123.3296576965822, 461.6489571720833], [1221.3245099278024, 545.6445447988438], [1249.3230391367229, 551.6442296293267], [811.346046511472, 407.65179369773733], [805.346361680989, 387.65284426279436], [973.3375369345099, 593.6420234427069], [993.3364863694528, 565.6434942337867], [937.3394279516126, 817.630257114068], [795.3468869635176, 721.6352998263419]], ""2"": [[602.8261726831909, 281.4985474550489], [604.8232739631413, 65.14590879374595], [606.1546748164417, 53.829001540693184], [556.2271428176795, 48.50339812749188], [612.1459786562932, 39.1835921543896], [628.7884893225472, 1.9043682619804798], [554.230041537729, 2.5700686886306414], [671.3933166281577, 43.17779471429057], [670.7276162015075, 28.532385327986987], [637.4425948689993, 80.45701860669968], [639.4396961489498, 75.13141519349838], [558.8899445242802, 95.10242799300326], [556.2271428176795, 90.44252500645214], [546.9073368445772, 182.97488431082476], [546.2416364179271, 182.97488431082476], [536.9218304448248, 281.4985474550489], [694.0271311342632, 281.4985474550489]]}"
3,"{""1"": [[1171.5289899473717, 402.3033724549522], [1193.2904271725242, 388.45518512985507], [1191.3121146975104, 378.5636227547857], [1157.6808026222745, 309.3226861293001], [1161.6374275723024, 315.2576235543417], [1070.635053721664, 315.2576235543417], [1074.5916786716919, 297.45281127921686], [1126.0278030220525, 469.5659966054239], [1124.0494905470387, 463.63105918038224], [1228.9000517227742, 546.7201831309649], [1246.7048639978989, 552.6551205560065], [811.4761194948467, 420.108184730077], [805.541182069805, 398.3467475049244], [928.1965555206652, 629.8093070815478], [1011.2856794712479, 536.8286207558956], [926.2182430456513, 861.2718666581709], [805.541182069805, 693.1153062819917]], ""2"": [[652.9377961023554, 52.969002700052485], [654.1852439379941, 38.62335259020864], [644.2056612528852, 35.50473300111214], [659.7987591983676, 45.48431568622091], [608.6533979371852, 44.236867850582314], [536.3014234701467, 3.694813192327942], [594.9314717451607, 4.31853711014724], [648.5717286776203, 23.653978562545475], [647.3242808419817, 26.148874233822667], [626.7413915539448, 89.76871385139108], [626.7413915539448, 87.27381818011389], [538.7963191414239, 107.85670746815072], [594.9314717451607, 108.48043138597001], [533.8065277988695, 199.54412338758752], [645.4531090885239, 190.18826462029804], [527.5692886206765, 271.8960978546261], [678.5104767329467, 271.8960978546261]]}"
4,"{""1"": [[1172.0445168317926, 403.0034984352129], [1193.8462029519583, 391.11166964239544], [1191.8642314864887, 381.2018123150475], [1158.1707165735056, 303.9049251617336], [1162.1346595044447, 313.81478248908155], [1072.9459435583135, 325.7066112818991], [1072.9459435583135, 295.9770392998553], [1124.4772016605225, 470.3905282611789], [1122.495230195053, 462.46264239930053], [1227.5397178649412, 545.7054439490231], [1247.359432519637, 551.6513583454318], [813.3076815817976, 416.87729869350005], [807.3617671853889, 393.093641107865], [916.3701977862161, 640.8400742915633], [1019.4327139906345, 521.9217863633882], [918.3521692516856, 876.694678682444], [817.2716245127368, 674.5335892045463]], ""2"": [[633.9327097174254, 48.049511810295996], [635.8171453027231, 24.80813959162414], [626.3949673762345, 28.577010762219572], [644.6111780341125, 42.39620505440284], [602.5254499624634, 38.62733388380741], [525.8917361603562, 7.220074128845432], [572.3744805977, 6.591928933746196], [505.1629447220813, 24.80813959162414], [623.8823865958376, 33.60217232301349], [633.9327097174254, 95.16040144273896], [646.4956136194102, 169.90967965954846], [528.4043169407531, 113.37661210061691], [567.349319036906, 114.63290249081538], [526.5198813554555, 203.20137499980817], [630.7919837419292, 196.91992304881578], [513.9569774534707, 273.553636850923], [669.1088406429828, 273.553636850923]]}"
5,"{""1"": [[1170.8776748963378, 402.1978471156326], [1192.5963317148512, 390.35130703280703], [1188.647485020576, 378.50476694998144], [1161.0055581606498, 301.50225641161506], [1164.9544048549249, 319.27206653585347], [1072.1565075394578, 333.09302996581664], [1074.1309308865953, 299.5278330644775], [1127.4403612593105, 467.3538175711734], [1123.4915145650352, 463.40497087689823], [1230.1103753104658, 548.305174803815], [1245.9057620875665, 554.2284448452277], [805.6093556758818, 408.12111715704543], [809.558202370157, 390.35130703280703], [904.3305230327618, 641.1030721192822], [1030.6936172495682, 504.86786116678775], [898.407252991349, 840.5198301801797], [845.0978226186338, 666.770575632071]], ""2"": [[607.3998505048853, 65.71359188526154], [511.79477302143744, 54.40546444098277], [600.2037694039807, 37.957279067486354], [508.7107382639068, 63.657568713574506], [590.9516651313888, 35.901255895799295], [501.5146571630022, 8.144943078024085], [510.76676143559393, 4.032896734649967], [604.3158157473548, 62.629557127730976], [604.3158157473548, 67.7696150569486], [589.9236535455454, 70.85364981447918], [584.7835956163278, 70.85364981447918], [528.2429583949338, 120.19820593496843], [521.0468772940292, 120.19820593496843], [524.1309120515598, 196.27106328738938], [605.3438273331983, 194.21504011570232], [511.79477302143744, 268.2318742964362], [646.4642907669393, 197.29907487323288]]}"
6,"{""1"": [[1172.5374403315654, 401.8541448180906], [1194.191724445508, 390.04271711957637], [1188.286010596251, 376.26271813797644], [1156.7888700668796, 307.3627232299768], [1164.6631551992223, 317.2055796454053], [1070.1717336111087, 323.11129349466245], [1074.10887617728, 301.4570093807197], [1121.354586971337, 468.78556844300454], [1121.354586971337, 462.87985459374744], [1227.657436257965, 551.4655623326041], [1243.4060065226506, 553.4341336156899], [802.4460391114528, 409.7284299504334], [812.2888955268813, 388.0741458364907], [914.6546022473381, 640.0512700714607], [1034.7374505155658, 492.408423840033], [889.0631755672239, 807.3798291337457], [865.4403201701954, 675.4855531670034]], ""2"": [[589.2937962349138, 68.54916030198831], [598.8906368086945, 58.952319728207556], [586.0948493769868, 56.819688489589595], [583.9622181383688, 70.68179154060624], [564.7685369908074, 55.75337287028063], [556.2380120363356, 10.96811685930382], [483.7285499233255, 9.901801239994825], [574.3653775645881, 30.161798006865297], [444.27487200889357, 18.43232619446661], [392.0254066627539, 48.28916353511784], [386.69382856620905, 46.156532296499876], [539.176962127392, 103.73757573918436], [482.6622343040165, 102.6712601198754], [526.3811746956844, 177.31335347150343], [576.4980088032061, 180.51230032943033], [515.7180185025946, 251.95544682313147], [630.8801053879636, 224.23124072109823]]}"
7,"{""1"": [[1170.3053502790922, 402.28680731787597], [1191.800669770733, 386.65384768759156], [1187.892429863162, 378.83736787244936], [1148.810030787451, 300.6725697210273], [1162.4888704639498, 322.16788921266834], [1066.7369927284578, 318.25964930509724], [1070.6452326360288, 304.5808096285984], [1117.5441115268823, 464.8186458390137], [1121.4523514344532, 466.77276579279925], [1228.9289488926586, 552.7540437593635], [1242.6077885691575, 556.6622836669346], [793.1601991984804, 400.3326873640904], [814.6555186901215, 390.56208759516267], [900.6367966566859, 613.3317623267156], [1033.5169535141033, 492.1763251920114], [873.279117303688, 761.8448788144176], [888.9120769339725, 687.5883205705667]], ""2"": [[526.3783787137818, 71.64126914241848], [534.7808487527216, 51.47534104896292], [534.7808487527216, 41.39237700223512], [461.6793594139451, 27.948424939931414], [517.1356616709479, 24.587436924355472], [553.2662828383892, 11.983731865945742], [481.00504050350673, 13.664225873733699], [568.3907289084809, 11.14348486205175], [365.8912009700311, 13.664225873733699], [550.7455418267073, 72.48151614631246], [384.3766350556987, 55.67657606843281], [537.3015897644035, 96.84867925923794], [459.1586184022632, 91.80719723587407], [526.3783787137818, 171.6306626058024], [529.7393667293577, 167.42942758633245], [507.89294462811415, 262.37733902635244], [521.3368966904179, 263.2175860302465]]}"
8,"{""1"": [[1170.2476495888886, 402.23906284675104], [1191.756702983961, 388.5514834135233], [1187.8459660030387, 376.8192724707566], [1150.6939646842775, 308.3813753046176], [1158.5154386461222, 316.20284926646207], [1062.7023826135273, 320.1135862473843], [1068.5684880849108, 302.5152698332343], [1121.3634373273608, 470.67696001289], [1121.3634373273608, 466.7662230319678], [1226.953335812261, 546.9363311408733], [1240.640915245489, 554.7578051027178], [792.8615309298939, 408.10516831813436], [810.459847344044, 388.5514834135233], [939.5141677144775, 615.3742283070123], [1025.5503812947663, 505.87359284119003], [833.9242692295772, 783.5359184866682], [923.8712197907885, 736.6070747156014]], ""2"": [[457.13567223983705, 97.17041020514347], [332.33816484925296, 56.573630692543816], [469.1643476509777, 42.289578641814316], [481.1930230621183, 30.260903230673676], [475.9304775697443, 34.77165650985141], [516.5272570823439, 6.955344621588708], [542.8399845442141, 7.70713683478499], [467.66076322458514, 6.203552408392412], [455.63208781344446, 107.6955011898915], [427.06398371198543, 79.1273970884325], [418.04247715363, 70.85768274327333], [476.6822697829406, 100.9293712711249], [520.2862181483254, 109.1990856162841], [432.3265292043595, 104.68833233710635], [523.2933870011105, 110.70267004267666], [527.8041402802883, 303.91326883412313], [530.0595169198772, 303.91326883412313]]}"
9,"{""1"": [[1168.8643631807386, 402.21155596190374], [1188.5215670607156, 388.45151324591984], [1184.59012628472, 376.6571909179337], [1155.104320464755, 315.719858890005], [1159.0357612407502, 317.6855792780027], [1066.6469030048584, 319.65129966600045], [1068.612623392856, 303.92553656201886], [1125.6185146447892, 472.9774899298209], [1121.687073868794, 469.0460491538255], [1233.7331359846626, 549.6405850617311], [1243.5617379246512, 553.5720258377265], [797.3432098491737, 415.97159867788764], [807.1718117891621, 396.31439479791067], [964.429442828978, 596.8178743736759], [1017.5038933049159, 528.0176607937565], [813.0689729531553, 754.0755054134917], [931.0121962330172, 773.7327092934687]]}"
10,"{""1"": [[1168.8245269281006, 401.7159706375139], [1186.539948226976, 395.8108302045554], [1180.6348077940174, 380.0637890499993], [1168.8245269281006, 307.2337237101772], [1157.0142460621832, 321.0123847204138], [1066.4687594234856, 322.9807648647333], [1064.5003792791663, 307.2337237101772], [1123.5517836087517, 474.546035977336], [1121.5834034644322, 468.64089554437743], [1227.8759312576858, 549.3444814614775], [1243.622972412242, 555.2496218944361], [792.8639193630731, 407.62111107047247], [808.6109605176292, 395.8108302045554], [987.7335536507051, 576.9018034819508], [999.5438345166222, 559.1863821830751], [836.1682825381024, 732.4038348831925], [936.5556698983977, 819.0125612332511]], ""2"": [[333.8003768458493, 51.39980590567484], [589.1034615205002, -57.92057499939759], [456.452511519833, 109.39293480043887], [589.1034615205002, -57.92057499939759], [536.4430341333007, -57.92057499939759], [449.78663463537737, 20.73677223717891], [507.7797635301414, 35.401701382981315], [437.78805624335723, 7.405018468267642], [508.446351218587, 16.737246106505538], [407.1250225748613, 38.73463982520913], [395.12644418284117, 17.403833794951098], [444.4539331278129, 12.07113228738659], [509.7795265954781, 18.070421483396657], [399.12597031351453, 82.72942726261633], [499.7807112687947, 144.72208228805374], [433.1219424242383, 236.7111832935415], [508.446351218587, 260.04175238913626]]}"
